SortType	TabSize	TabType	PercentSort	SortTime	UserTime	SystemTime	Memory
insertion	17000	reversed	NULL	0.000065	0.00	0.00	1724
insertion	17500	random	NULL	0.000067	0.00	0.00	1756
insertion	17500	partlysorted	0.50	0.000067	0.00	0.00	1816
insertion	17500	reversed	NULL	0.000066	0.00	0.00	1748
insertion	18000	random	NULL	0.000069	0.00	0.00	1804
insertion	18000	partlysorted	0.50	0.000069	0.00	0.00	1764
insertion	18000	reversed	NULL	0.000069	0.00	0.00	1756
insertion	18500	random	NULL	0.000070	0.00	0.00	1732
insertion	18500	partlysorted	0.50	0.000070	0.00	0.00	1760
insertion	18500	reversed	NULL	0.000071	0.00	0.00	1804
insertion	19000	random	NULL	0.000072	0.00	0.00	1768
insertion	19000	partlysorted	0.50	0.000072	0.00	0.00	1800
insertion	19000	reversed	NULL	0.000072	0.00	0.00	1812
insertion	19500	random	NULL	0.000074	0.00	0.00	1812
insertion	19500	partlysorted	0.50	0.000074	0.00	0.00	1808
insertion	19500	reversed	NULL	0.000074	0.00	0.00	1864
insertion	20000	random	NULL	0.000076	0.00	0.00	1772
insertion	20000	partlysorted	0.50	0.000077	0.00	0.00	1776
insertion	20000	reversed	NULL	0.000076	0.00	0.00	1776
insertion	20500	random	NULL	0.000078	0.00	0.00	1780
insertion	20500	partlysorted	0.50	0.000077	0.00	0.00	1752
insertion	20500	reversed	NULL	0.000078	0.00	0.00	1776
insertion	21000	random	NULL	0.000080	0.00	0.00	1808
insertion	21000	partlysorted	0.50	0.000079	0.00	0.00	1824
insertion	21000	reversed	NULL	0.000079	0.00	0.00	1780
insertion	21500	random	NULL	0.000081	0.00	0.00	1788
insertion	21500	partlysorted	0.50	0.000082	0.00	0.00	1764
insertion	21500	reversed	NULL	0.000082	0.00	0.00	1812
insertion	22000	random	NULL	0.000083	0.00	0.00	1848
insertion	22000	partlysorted	0.50	0.000083	0.00	0.00	1816
insertion	22000	reversed	NULL	0.000084	0.00	0.00	1832
insertion	22500	random	NULL	0.000085	0.00	0.00	1780
insertion	22500	partlysorted	0.50	0.000086	0.00	0.00	1788
insertion	22500	reversed	NULL	0.000086	0.00	0.00	1764
insertion	23000	random	NULL	0.000087	0.00	0.00	1784
insertion	23000	partlysorted	0.50	0.000086	0.00	0.00	1884
insertion	23000	reversed	NULL	0.000088	0.00	0.00	1788
insertion	23500	random	NULL	0.000095	0.00	0.00	1864
insertion	23500	partlysorted	0.50	0.000091	0.00	0.00	1884
insertion	23500	reversed	NULL	0.000089	0.00	0.00	1776
insertion	24000	random	NULL	0.000092	0.00	0.00	1832
insertion	24000	partlysorted	0.50	0.000091	0.00	0.00	1864
insertion	24000	reversed	NULL	0.000091	0.00	0.00	1828
insertion	24500	random	NULL	0.000093	0.00	0.00	1804
insertion	24500	partlysorted	0.50	0.000093	0.00	0.00	1800
insertion	24500	reversed	NULL	0.000092	0.00	0.00	1776
insertion	25000	random	NULL	0.000095	0.00	0.00	1780
insertion	25000	partlysorted	0.50	0.000095	0.00	0.00	1904
insertion	25000	reversed	NULL	0.000095	0.00	0.00	1896
merge	2500	random	NULL	0.000259	0.00	0.00	1664
merge	2500	partlysorted	0.50	0.000260	0.00	0.00	1756
merge	2500	reversed	NULL	0.000259	0.00	0.00	1664
merge	3000	random	NULL	0.000316	0.00	0.00	1704
merge	3000	partlysorted	0.50	0.000315	0.00	0.00	1716
merge	3000	reversed	NULL	0.000313	0.00	0.00	1760
merge	3500	random	NULL	0.000371	0.00	0.00	1696
merge	3500	partlysorted	0.50	0.000371	0.00	0.00	1732
merge	3500	reversed	NULL	0.000394	0.00	0.00	1736
merge	4000	random	NULL	0.000441	0.00	0.00	1700
merge	4000	partlysorted	0.50	0.000425	0.00	0.00	1744
merge	4000	reversed	NULL	0.000423	0.00	0.00	1792
merge	4500	random	NULL	0.000498	0.00	0.00	1684
merge	4500	partlysorted	0.50	0.000485	0.00	0.00	1756
merge	4500	reversed	NULL	0.000482	0.00	0.00	1776
merge	5000	random	NULL	0.000569	0.00	0.00	1712
merge	5000	partlysorted	0.50	0.000543	0.00	0.00	1760
merge	5000	reversed	NULL	0.000543	0.00	0.00	1768
merge	5500	random	NULL	0.000643	0.00	0.00	1828
merge	5500	partlysorted	0.50	0.000603	0.00	0.00	1732
merge	5500	reversed	NULL	0.000605	0.00	0.00	1780
merge	6000	random	NULL	0.000663	0.00	0.00	1720
merge	6000	partlysorted	0.50	0.000664	0.00	0.00	1792
merge	6000	reversed	NULL	0.000671	0.00	0.00	1832
merge	6500	random	NULL	0.000728	0.00	0.00	1788
merge	6500	partlysorted	0.50	0.000747	0.00	0.00	1844
merge	6500	reversed	NULL	0.000721	0.00	0.00	1760
merge	7000	random	NULL	0.000779	0.00	0.00	1864
merge	7000	partlysorted	0.50	0.000778	0.00	0.00	1772
merge	7000	reversed	NULL	0.000784	0.00	0.00	1816
merge	7500	random	NULL	0.000844	0.00	0.00	1776
merge	7500	partlysorted	0.50	0.000838	0.00	0.00	1784
merge	7500	reversed	NULL	0.000842	0.00	0.00	1820
merge	8000	random	NULL	0.000915	0.00	0.00	1804
merge	8000	partlysorted	0.50	0.000900	0.00	0.00	1840
merge	8000	reversed	NULL	0.000899	0.00	0.00	1776
merge	8500	random	NULL	0.000952	0.00	0.00	1808
merge	8500	partlysorted	0.50	0.000970	0.00	0.00	1844
merge	8500	reversed	NULL	0.000953	0.00	0.00	1852
merge	9000	random	NULL	0.001022	0.00	0.00	1820
merge	9000	partlysorted	0.50	0.001018	0.00	0.00	1816
merge	9000	reversed	NULL	0.001027	0.00	0.00	1808
merge	9500	random	NULL	0.001097	0.00	0.00	1876
merge	9500	partlysorted	0.50	0.001079	0.00	0.00	1876
merge	9500	reversed	NULL	0.001087	0.00	0.00	1820
merge	10000	random	NULL	0.001141	0.00	0.00	1844
merge	10000	partlysorted	0.50	0.001142	0.00	0.00	1924
merge	10000	reversed	NULL	0.001143	0.00	0.00	1908
merge	10500	random	NULL	0.001232	0.00	0.00	1856
merge	10500	partlysorted	0.50	0.001215	0.00	0.00	1944
merge	10500	reversed	NULL	0.001204	0.00	0.00	1844
merge	11000	random	NULL	0.001273	0.00	0.00	1868
merge	11000	partlysorted	0.50	0.001276	0.00	0.00	1840
merge	11000	reversed	NULL	0.001271	0.00	0.00	1952
merge	11500	random	NULL	0.001326	0.00	0.00	1924
merge	11500	partlysorted	0.50	0.001341	0.00	0.00	1868
merge	11500	reversed	NULL	0.001340	0.00	0.00	1920
merge	12000	random	NULL	0.001420	0.00	0.00	1936
merge	12000	partlysorted	0.50	0.001395	0.00	0.00	1864
merge	12000	reversed	NULL	0.001395	0.00	0.00	1936
merge	12500	random	NULL	0.001452	0.00	0.00	1940
merge	12500	partlysorted	0.50	0.001451	0.00	0.00	1904
merge	12500	reversed	NULL	0.001450	0.00	0.00	1896
merge	13000	random	NULL	0.001518	0.00	0.00	1892
merge	13000	partlysorted	0.50	0.001522	0.00	0.00	1972
merge	13000	reversed	NULL	0.001523	0.00	0.00	1992
merge	13500	random	NULL	0.001575	0.00	0.00	1924
merge	13500	partlysorted	0.50	0.001577	0.00	0.00	1988
merge	13500	reversed	NULL	0.001593	0.00	0.00	2004
merge	14000	random	NULL	0.001699	0.00	0.00	1908
merge	14000	partlysorted	0.50	0.001666	0.00	0.00	1936
merge	14000	reversed	NULL	0.001660	0.00	0.00	1968
merge	14500	random	NULL	0.001708	0.00	0.00	1976
merge	14500	partlysorted	0.50	0.001705	0.00	0.00	1948
merge	14500	reversed	NULL	0.001710	0.00	0.00	1928
merge	15000	random	NULL	0.001792	0.00	0.00	1984
merge	15000	partlysorted	0.50	0.001814	0.00	0.00	2004
merge	15000	reversed	NULL	0.001851	0.00	0.00	1952
merge	15500	random	NULL	0.001954	0.00	0.00	1940
merge	15500	partlysorted	0.50	0.001892	0.00	0.00	2008
merge	15500	reversed	NULL	0.002525	0.00	0.00	1956
merge	16000	random	NULL	0.002089	0.00	0.00	2020
merge	16000	partlysorted	0.50	0.002043	0.00	0.00	2028
merge	16000	reversed	NULL	0.002076	0.00	0.00	1984
merge	16500	random	NULL	0.002178	0.00	0.00	1992
merge	16500	partlysorted	0.50	0.002155	0.00	0.00	1996
merge	16500	reversed	NULL	0.002163	0.00	0.00	2004
merge	17000	random	NULL	0.002280	0.00	0.00	1872
merge	17000	partlysorted	0.50	0.002242	0.00	0.00	1924
merge	17000	reversed	NULL	0.002651	0.00	0.00	1940
merge	17500	random	NULL	0.002633	0.00	0.00	1884
merge	17500	partlysorted	0.50	0.002227	0.00	0.00	1876
merge	17500	reversed	NULL	0.002179	0.00	0.00	1876
merge	18000	random	NULL	0.002659	0.00	0.00	1932
merge	18000	partlysorted	0.50	0.002409	0.00	0.00	1892
merge	18000	reversed	NULL	0.002419	0.00	0.00	1936
merge	18500	random	NULL	0.002496	0.00	0.00	1980
merge	18500	partlysorted	0.50	0.002447	0.00	0.00	1960
merge	18500	reversed	NULL	0.002470	0.00	0.00	2024
merge	19000	random	NULL	0.002536	0.00	0.00	1952
merge	19000	partlysorted	0.50	0.002523	0.00	0.00	1892
merge	19000	reversed	NULL	0.002519	0.00	0.00	1908
merge	19500	random	NULL	0.002642	0.00	0.00	1956
merge	19500	partlysorted	0.50	0.002603	0.00	0.00	1964
merge	19500	reversed	NULL	0.002662	0.00	0.00	1920
merge	20000	random	NULL	0.002678	0.00	0.00	2008
merge	20000	partlysorted	0.50	0.002657	0.00	0.00	1908
merge	20000	reversed	NULL	0.002688	0.00	0.00	1972
merge	20500	random	NULL	0.002745	0.00	0.00	1932
merge	20500	partlysorted	0.50	0.002713	0.00	0.00	1980
merge	20500	reversed	NULL	0.002735	0.00	0.00	1936
merge	21000	random	NULL	0.002808	0.00	0.00	1940
merge	21000	partlysorted	0.50	0.002803	0.00	0.00	1940
merge	21000	reversed	NULL	0.002817	0.00	0.00	2024
